FrameID,Uncompressed,Compressed_Mbytes,Compressed_Mbits_q=32
923,5.93,0.73,5.84
924,5.93,0.73,5.84
925,5.93,0.73,5.84
926,5.93,0.73,5.84
927,5.93,0.73,5.84
928,5.93,0.72,5.76
929,5.93,0.73,5.84
930,5.93,0.72,5.76
931,5.93,0.74,5.92
932,5.93,0.73,5.84
933,5.93,0.73,5.84
934,5.93,0.72,5.76
935,5.93,0.73,5.84
936,5.93,0.72,5.76
937,5.93,0.71,5.68
938,5.93,0.72,5.76
939,5.93,0.71,5.68
940,5.93,0.71,5.68
941,5.93,0.71,5.68
942,5.93,0.71,5.68
943,5.93,0.71,5.68
944,5.93,0.71,5.68
945,5.93,0.71,5.68
946,5.93,0.71,5.68
947,5.93,0.71,5.68
948,5.93,0.71,5.68
949,5.93,0.71,5.68
950,5.93,0.71,5.68
951,5.93,0.71,5.68
952,5.93,0.71,5.68
953,5.93,0.7,5.6
954,5.93,0.71,5.68
955,5.93,0.71,5.68
956,5.93,0.7,5.6
957,5.93,0.7,5.6
958,5.93,0.7,5.6
959,5.93,0.7,5.6
960,5.93,0.69,5.52
961,5.93,0.7,5.6
962,5.93,0.7,5.6
963,5.93,0.7,5.6
964,5.93,0.7,5.6
965,5.93,0.7,5.6
966,5.93,0.69,5.52
967,5.93,0.69,5.52
968,5.93,0.69,5.52
969,5.93,0.69,5.52
970,5.93,0.69,5.52
971,5.93,0.69,5.52
972,5.93,0.69,5.52
973,5.93,0.68,5.44
974,5.93,0.68,5.44
975,5.93,0.68,5.44
976,5.93,0.67,5.36
977,5.93,0.67,5.36
978,5.93,0.67,5.36
979,5.93,0.67,5.36
980,5.93,0.67,5.36
981,5.93,0.67,5.36
982,5.93,0.67,5.36
983,5.93,0.67,5.36
984,5.93,0.67,5.36
